iter	Passed	Remaining
609	37263	23824
610	37334	23769
611	37385	23701
612	37437	23634
613	37495	23571
614	37561	23513
615	37618	23450
616	37668	23382
617	37729	23321
618	37796	23264
619	37858	23203
620	37928	23147
621	37986	23085
622	38038	23018
623	38086	22949
624	38143	22885
625	38203	22824
626	38259	22760
627	38305	22690
628	38364	22628
629	38423	22566
630	38476	22500
631	38535	22438
632	38587	22372
633	38653	22314
634	38708	22249
635	38764	22186
636	38822	22123
637	38879	22060
638	38929	21993
639	38987	21930
640	39051	21871
641	39113	21810
642	39160	21742
643	39210	21675
644	39269	21613
645	39326	21550
646	39388	21490
647	39441	21425
648	39500	21363
649	39559	21301
650	39615	21237
651	39678	21177
652	39741	21118
653	39812	21062
654	39864	20997
655	39922	20934
656	39973	20869
657	40028	20805
658	40083	20741
659	40127	20671
660	40178	20605
661	40223	20536
662	40269	20468
663	40320	20403
664	40377	20340
665	40447	20284
666	40499	20219
667	40542	20149
668	40594	20084
669	40644	20018
670	40687	19949
671	40741	19885
672	40795	19822
673	40848	19757
674	40905	19695
675	40960	19631
676	41011	19566
677	41060	19500
678	41120	19439
679	41172	19375
680	41225	19311
681	41273	19245
682	41335	19184
683	41389	19121
684	41447	19059
685	41494	18993
686	41543	18927
687	41596	18863
688	41653	18801
689	41703	18736
690	41757	18673
691	41811	18609
692	41861	18544
693	41918	18482
694	41977	18421
695	42029	18357
696	42071	18289
697	42122	18224
698	42174	18160
699	42228	18097
700	42278	18033
701	42335	17971
702	42376	17903
703	42432	17841
704	42484	17777
705	42546	17717
706	42599	17654
707	42654	17591
708	42708	17529
709	42756	17463
710	42807	17400
711	42861	17337
712	42908	17271
713	42964	17209
714	43015	17145
715	43064	17081
716	43118	17019
717	43172	16956
718	43220	16891
719	43272	16828
720	43322	16764
721	43368	16698
722	43419	16635
723	43475	16573
724	43525	16509
725	43579	16447
726	43639	16387
727	43688	16323
728	43742	16260
729	43793	16197
730	43843	16133
731	43893	16070
732	43946	16007
733	44000	15945
734	44053	15883
735	44111	15822
736	44159	15758
737	44218	15698
738	44270	15635
739	44326	15574
740	44379	15511
741	44434	15450
742	44494	15390
743	44544	15327
744	44614	15270
745	44681	15213
746	44752	15157
747	44807	15095
748	44861	15033
749	44918	14972
750	44964	14908
751	45009	14843
752	45061	14781
753	45116	14719
754	45167	14657
755	45221	14595
756	45275	14533
757	45328	14471
758	45376	14407
759	45426	14345
760	45471	14280
761	45532	14221
762	45588	14160
763	45641	14098
764	45694	14036
765	45748	13975
766	45794	13911
767	45841	13847
768	45893	13785
769	45942	13723
770	45999	13662
771	46055	13602
772	46109	13540
773	46161	13478
774	46205	13414
775	46253	13351
776	46298	13287
777	46362	13229
778	46407	13165
779	46458	13103
780	46512	13042
781	46565	12981
782	46615	12918
783	46667	12857
784	46721	12796
785	46774	12735
786	46827	12673
787	46873	12610
788	46926	12549
789	46979	12488
790	47038	12428
791	47089	12366
792	47141	12305
793	47197	12245
794	47262	12187
795	47314	12125
796	47375	12066
797	47428	12005
798	47473	11942
799	47529	11882
800	47583	11821
801	47635	11760
802	47692	11700
803	47746	11639
804	47795	11577
805	47858	11519
806	47924	11461
807	47974	11399
808	48028	11339
809	48084	11279
810	48136	11218
811	48190	11157
812	48240	11095
813	48291	11034
814	48345	10974
815	48410	10915
816	48456	10853
817	48511	10793
818	48559	10731
819	48612	10670
820	48664	10610
821	48714	10548
822	48769	10488
823	48816	10426
824	48863	10365
825	48923	10305
826	48971	10244
827	49023	10183
828	49067	10121
829	49116	10059
830	49174	10000
831	49245	9943
832	49320	9887
833	49372	9827
834	49421	9765
835	49476	9705
836	49556	9650
837	49626	9593
838	49670	9531
839	49719	9470
840	49774	9410
841	49822	9349
842	49878	9289
843	49929	9228
844	49977	9167
845	50030	9107
846	50080	9046
847	50128	8985
848	50185	8925
849	50240	8865
850	50293	8805
851	50345	8745
852	50389	8683
853	50437	8622
854	50495	8563
855	50555	8504
856	50606	8444
857	50650	8382
858	50702	8322
859	50747	8261
860	50802	8201
861	50853	8141
862	50906	8081
863	50953	8020
864	51007	7960
865	51057	7900
866	51103	7839
867	51157	7779
868	51202	7718
869	51258	7659
870	51318	7600
871	51364	7539
872	51416	7479
873	51466	7419
874	51516	7359
875	51561	7298
876	51617	7239
877	51672	7180
878	51721	7119
879	51775	7060
880	51831	7001
881	51877	6940
882	51926	6880
883	51974	6820
884	52022	6759
885	52072	6700
886	52123	6640
887	52171	6580
888	52213	6519
889	52261	6459
890	52315	6400
891	52364	6340
892	52417	6280
893	52462	6220
894	52510	6160
895	52554	6100
896	52606	6040
897	52653	5980
898	52707	5921
899	52760	5862
900	52808	5802
901	52853	5742
902	52908	5683
903	52958	5623
904	53007	5564
905	53058	5505
906	53117	5446
907	53169	5387
908	53226	5328
909	53274	5268
910	53319	5209
911	53370	5149
912	53423	5090
913	53466	5030
914	53516	4971
915	53567	4912
916	53606	4852
917	53653	4792
918	53697	4732
919	53744	4673
920	53799	4614
921	53851	4555
922	53902	4496
923	53955	4437
924	54004	4378
925	54059	4320
926	54103	4260
927	54149	4201
928	54202	4142
929	54252	4083
930	54304	4024
931	54359	3966
932	54407	3907
933	54456	3848
934	54499	3788
935	54547	3729
936	54599	3671
937	54646	3612
938	54703	3553
939	54757	3495
940	54813	3436
941	54859	3377
942	54903	3318
943	54956	3260
944	54996	3200
945	55052	3142
946	55106	3084
947	55155	3025
948	55203	2966
949	55252	2908
950	55308	2849
951	55356	2791
952	55406	2732
953	55457	2674
954	55502	2615
955	55551	2556
956	55607	2498
957	55656	2440
958	55698	2381
959	55751	2322
960	55799	2264
961	55850	2206
962	55908	2148
963	55951	2089
964	56004	2031
965	56055	1972
966	56105	1914
967	56155	1856
968	56209	1798
969	56256	1739
970	56312	1681
971	56360	1623
972	56413	1565
973	56469	1507
974	56515	1449
975	56565	1390
976	56623	1332
977	56676	1274
978	56728	1216
979	56777	1158
980	56830	1100
981	56880	1042
982	56925	984
983	56973	926
984	57024	868
985	57076	810
986	57127	752
987	57180	694
988	57231	636
989	57278	578
990	57335	520
991	57381	462
992	57426	404
993	57474	346
994	57520	289
995	57566	231
996	57612	173
997	57661	115
998	57713	57
999	57763	0
